skillId,relatedSkillId,relationshipType,linkStrength,updatedAt
S501,S509,prerequisite,0.55,24-11-2025
S501,S503,prerequisite,0.93,24-11-2025
S501,S507,child,0.57,24-11-2025
S502,S501,child,0.59,24-11-2025
S502,S510,child,0.81,24-11-2025
S502,S508,parent,0.72,24-11-2025
S503,S510,prerequisite,0.69,24-11-2025
S503,S507,child,0.8,24-11-2025
S503,S508,prerequisite,0.93,24-11-2025
S504,S509,complementary,0.65,24-11-2025
S504,S503,parent,0.62,24-11-2025
S504,S507,child,0.72,24-11-2025
S505,S510,child,0.66,24-11-2025
S505,S507,complementary,0.78,24-11-2025
S505,S502,parent,0.98,24-11-2025
S506,S505,parent,0.69,24-11-2025
S506,S503,complementary,0.77,24-11-2025
S506,S509,complementary,0.98,24-11-2025
S507,S502,similar,0.6,24-11-2025
S507,S504,prerequisite,0.6,24-11-2025
S507,S503,prerequisite,0.9,24-11-2025
S508,S506,child,0.67,24-11-2025
S508,S510,parent,0.86,24-11-2025
S508,S503,prerequisite,0.78,24-11-2025
S509,S508,prerequisite,0.76,24-11-2025
S509,S502,complementary,0.51,24-11-2025
S509,S504,parent,0.6,24-11-2025
S510,S506,parent,0.77,24-11-2025
S510,S503,parent,0.61,24-11-2025
S510,S508,prerequisite,0.85,24-11-2025
